time,values
2152,-0.3546132804
2153,-0.3550728093
2154,-0.3555323383
2155,-0.3560005376
2156,-0.3564600665
2157,-0.3569195954
2158,-0.3573877947
2159,-0.3578473237
2160,-0.3583068526
2161,-0.3587663816
2162,-0.3592345809
2163,-0.3596941098
2164,-0.3601536387
2165,-0.360621838
2166,-0.361081367
2167,-0.3615408959
2168,-0.3620090952
2169,-0.3624686241
2170,-0.3629281531
2171,-0.3633963524
2172,-0.3638558813
2173,-0.3643154103
2174,-0.3647749392
2175,-0.3652431385
2176,-0.3657026674
2177,-0.3661621964
2178,-0.3666303957
2179,-0.3670899246
2180,-0.3675494536
2181,-0.3680176528
2182,-0.3684771818
2183,-0.3689453811
2184,-0.36940491
2185,-0.369864439
2186,-0.3703326383
2187,-0.3707921672
2188,-0.3712603665
2189,-0.3717198954
2190,-0.3721794244
2191,-0.3726476237
2192,-0.3731071526
2193,-0.3735753519
2194,-0.3740348808
2195,-0.3744944098
2196,-0.3749626091
2197,-0.375422138
2198,-0.3758903373
2199,-0.3763498663
2200,-0.3768093952
2201,-0.3772775945
2202,-0.3777371234
2203,-0.3782053227
2204,-0.3786648517
2205,-0.3791243806
2206,-0.3795925799
2207,-0.3800521088
2208,-0.3805116378
2209,-0.3809798371
2210,-0.381439366
2211,-0.381898895
2212,-0.3823584239
2213,-0.3828266232
2214,-0.3832861521
2215,-0.3837456811
2216,-0.38420521
2217,-0.3846734093
2218,-0.3851329383
2219,-0.3855924672
2220,-0.3860519961
2221,-0.3865201954
2222,-0.3869797244
2223,-0.3874392533
2224,-0.3878987822
2225,-0.3883669815
2226,-0.3888265105
2227,-0.3892860394
2228,-0.3897455684
2229,-0.3902137677
2230,-0.3906732966
2231,-0.3911328255
2232,-0.3915923545
2233,-0.3920518834
2234,-0.3925200827
2235,-0.3929796117
2236,-0.3934391406
2237,-0.3938986695
2238,-0.3943668688
2239,-0.3948263978
2240,-0.3952859267
2241,-0.3957454556
2242,-0.3962136549
2243,-0.3966731839
2244,-0.3971327128
2245,-0.3976009121
2246,-0.3980604411
2247,-0.39851997
2248,-0.3989881693
2249,-0.3994476982
2250,-0.3999072272
2251,-0.4003754265
2252,-0.4008349554
2253,-0.4012944844
2254,-0.4017540133
2255,-0.4022222126
2256,-0.4026817415
2257,-0.4031412705
2258,-0.4036094698
2259,-0.4040689987
2260,-0.4045285276
2261,-0.4049967269
2262,-0.4054562559
2263,-0.4059157848
2264,-0.4063839841
2265,-0.4068435131
2266,-0.407303042
2267,-0.4077712413
2268,-0.4082307702
2269,-0.4086902992
2270,-0.4091584985
2271,-0.4096180274
2272,-0.4100775563
2273,-0.4105457556
2274,-0.4110052846
2275,-0.4114648135
2276,-0.4119330128
2277,-0.4123925418
2278,-0.4128520707
2279,-0.4133115996
2280,-0.4137797989
2281,-0.4142393279
2282,-0.4146988568
